PRESS N2 O2 O3 H2O CH4 N2O CO2 CO
1.47E-06 0.89018249014999 0.009807 2.444E-07 1.271E-06 8.942E-08 3.001E-11 0.1 8.905E-06
1.37E-06 0.8890881579384 0.0109 2.885E-07 1.178E-06 8.553E-08 3.16E-11 0.1 1.029E-05
1.276E-06 0.88795596915705 0.01203 3.382E-07 1.091E-06 8.161E-08 3.295E-11 0.1 1.252E-05
1.189E-06 0.88682223893604 0.01316 3.933E-07 1.01E-06 7.773E-08 3.396E-11 0.1 1.628E-05
1.108E-06 0.88571592809545 0.01426 4.525E-07 9.354E-07 7.397E-08 3.455E-11 0.1 2.261E-05
1.032E-06 0.88467553746534 0.01529 5.132E-07 8.689E-07 7.04E-08 3.466E-11 0.1 3.301E-05
9.614E-07 0.88375913045575 0.01619 5.713E-07 8.111E-07 6.711E-08 3.425E-11 0.1 4.942E-05
8.956E-07 0.88301456258659 0.01691 6.205E-07 7.627E-07 6.418E-08 3.341E-11 0.1 7.399E-05
8.342E-07 0.88249026067764 0.0174 6.526E-07 7.25E-07 6.169E-08 3.236E-11 0.1 0.0001083
7.77E-07 0.88221988180848 0.01763 6.58E-07 7.003E-07 5.986E-08 3.152E-11 0.1 0.0001487
